time_sec,amplitude
0.0,0.0
0.004,9.0491346e-07
0.008,5.6087694e-05
0.012,0.00058815064
0.016,-0.0009783043
0.02,-0.0008034529
0.024,-0.1943681
0.028,0.28874332
0.032,0.020507392
0.036,-0.24367994
0.04,0.1973227
0.044,-0.06845356
0.048,0.10523707
0.052,-0.18850708
0.056,0.15300143
0.06,-0.068016574
0.064,0.19764699
0.068,0.09622481
0.072,-0.14800698
0.076,0.14346275
0.08,-0.11742197
0.084,0.19681084
0.088,-0.101558894
0.092,0.206157
0.096,-0.093835354
0.1,-0.0032334682
0.104,-0.23822707
0.108,0.26741818
0.112,-0.08877615
0.116,-0.013106022
0.12,-0.5259477
0.124,0.35915816
0.128,-0.09626609
0.132,0.08664386
0.136,-0.26877147
0.14,0.25292698
0.144,-0.06895189
0.148,0.11972308
0.152,-0.38021782
0.156,0.2512321
0.16,-0.019132469
0.164,0.09714117
0.168,-0.33452213
0.172,0.27005547
0.176,0.005742655
0.18,0.20892182
0.184,-0.25123933
0.188,-0.38185048
0.192,0.17176619
0.196,0.034763645
0.2,-0.045482025
0.204,-0.21388778
0.208,0.31884816
0.212,0.034093462
0.216,0.047935966
0.22,-0.4248981
0.224,0.3256048
0.228,-0.10044256
0.232,0.14433819
0.236,-0.2826225
0.24,0.2603997
0.244,-0.08024791
0.248,0.17132983
0.252,-0.50907737
0.256,0.25190192
0.26,-0.045628544
0.264,0.27790195
0.268,-0.26799878
0.272,0.20020072
0.276,-0.04657828
0.28,0.046229478
0.284,-0.22864038
0.288,0.042753987
0.292,0.038063493
0.296,0.21040851
0.3,-0.013509475
0.304,0.019304328
0.308,0.067288294
0.312,-0.18174621
0.316,0.17726687
0.32,-0.14886442
0.324,0.15490094
0.328,-0.20517871
0.332,0.22031504
0.336,-0.14170882
0.34,0.17468914
0.344,-0.40008864
0.348,0.12676519
0.352,0.05075259
0.356,0.123687536
0.36,-0.16967666
0.364,-0.04105255
0.368,0.26798782
0.372,-0.08558041
0.376,0.03204159
0.38,-0.18333909
0.384,0.21373442
0.388,-0.18374807
0.392,0.1462872
0.396,-0.17001407
0.4,0.17289361
0.404,-0.20314819
0.408,0.0981413
0.412,-0.05329516
0.416,0.12697884
0.42,-0.1917832
0.424,0.041380875
0.428,0.09816347
0.432,0.0680342
0.436,-0.14353657
0.44,-0.07357436
0.444,0.15643448
0.448,0.012354542
0.452,-0.072826624
0.456,-0.14777644
0.46,0.18788213
0.464,-0.005925281
0.468,-0.030279914
0.472,-0.16885017
0.476,0.1539762
0.48,0.058200225
0.484,-0.06587814
0.488,-0.17352563
0.492,0.18801114
0.496,0.061357863
0.5,-0.031154439
0.504,-0.09686313
0.508,0.13107704
0.512,0.009728911
0.516,0.00036730804
0.52,-0.12632267
0.524,0.07782951
0.528,0.07374407
0.532,0.031069955
0.536,-0.14326984
0.54,-0.026331771
0.544,0.09172395
0.548,0.060945902
0.552,-0.15910232
0.556,-0.07996096
0.56,0.12881653
0.564,0.061911814
0.568,-0.13686123
